ID,Length,Osculum,Camera
74,12.086,1,4
75,10,1,4
76,10.501,1,4
77,12.5,1,4
78,10.172,1,4
79,12.083,1,4
80,10.917,1,4
81,10.667,1,4
82,12.334,1,4
1,14.377,2,4
2,12.501,2,4
3,14.127,2,4
4,13.751,2,4
5,14.002,2,4
6,13.884,2,4
7,12.256,2,4
8,15.25,2,4
9,12.5,2,4
10,13.5,2,4
11,13.877,2,4
12,13.63,2,4
13,14.127,2,4
14,14.75,2,4
15,14.127,2,4
16,14.501,2,4
17,14.001,2,4
18,13.876,2,4
19,13.38,2,4
20,13,2,4
21,12.627,2,4
22,13.505,2,4
23,14.63,2,4
24,14.125,2,4
25,13.501,2,4
26,13.25,2,4
27,12.752,2,4
28,15.752,2,4
29,11.501,2,4
30,12.501,2,4
31,13.625,2,4
32,13.752,2,4
33,14.126,2,4
34,13.5,2,4
35,13.377,2,4
36,12.876,2,4
37,14.625,2,4
38,13.751,2,4
39,12.128,2,4
40,14.001,2,4
41,16.502,2,4
42,15.627,2,4
43,14.127,2,4
44,13.626,2,4
45,13.626,2,4
46,14.005,2,4
47,14.25,2,4
48,15.251,2,4
49,14,2,4
50,14.127,2,4
51,15.126,2,4
52,14.001,2,4
53,15.5,2,4
54,13.252,2,4
55,13.125,2,4
56,12.5,2,4
57,15.377,2,4
58,13.751,2,4
59,15.375,2,4
60,13.502,2,4
61,13.5,2,4
62,17.252,2,4
63,13.135,2,4
64,12.625,2,4
65,15.002,2,4
66,15.258,2,4
67,13.755,2,4
68,13.626,2,4
69,14.376,2,4
70,14.014,2,4
71,15.376,2,4
1,13.127,3,4
2,11.003,3,4
3,9.753,3,4
4,8.25,3,4
5,10.378,3,4
6,10.751,3,4
7,8.375,3,4
8,9.5,3,4
9,8.626,3,4
10,10.001,3,4
11,9,3,4
12,8.751,3,4
13,9.503,3,4
14,9.125,3,4
15,9.376,3,4
16,8.501,3,4
17,9.626,3,4
18,8,3,4
19,9.125,3,4
20,10.75,3,4
21,6.626,3,4
22,7.875,3,4
23,8.125,3,4
24,10.5,3,4
25,8.376,3,4
26,9.001,3,4
27,9.751,3,4
28,9.251,3,4
29,7.251,3,4
30,10.876,3,4
31,10.128,3,4
32,12.751,3,4
33,10.126,3,4
34,9.626,3,4
35,10.125,3,4
36,9.001,3,4
37,9.625,3,4
38,8.75,3,4
39,9.376,3,4
40,8.001,3,4
41,7.25,3,4
42,6.501,3,4
43,8.5,3,4
44,9.501,3,4
45,8.501,3,4
46,8.75,3,4
47,9.626,3,4
48,10.25,3,4
49,6.25,3,4
50,10.878,3,4
51,10.751,3,4
52,9.251,3,4
53,11.375,3,4
54,10.751,3,4
55,9,3,4
56,12.251,3,4
57,10.507,3,4
58,9.5,3,4
59,10,3,4
60,9.626,3,4
61,9.876,3,4
62,7.75,3,4
63,9.003,3,4
64,10.001,3,4
65,8.375,3,4
1,13.13,1,5
2,12.376,1,5
3,11.253,1,5
4,10.501,1,5
5,9.501,1,5
6,9.125,1,5
7,10.625,1,5
8,10.125,1,5
9,10.5,1,5
10,11.628,1,5
11,10.126,1,5
12,10.628,1,5
13,10.75,1,5
14,10.751,1,5
15,10.876,1,5
16,11.753,1,5
17,9.501,1,5
18,11.751,1,5
19,12.125,1,5
20,12.751,1,5
21,13,1,5
22,13.376,1,5
23,12.376,1,5
24,11.376,1,5
25,11.125,1,5
26,11.625,1,5
27,12.251,1,5
28,10,1,5
29,10.875,1,5
30,12.752,1,5
31,9.626,1,5
32,10.751,1,5
33,11.126,1,5
34,9.625,1,5
35,10.626,1,5
36,11.751,1,5
37,11.25,1,5
38,12.128,1,5
39,12.25,1,5
40,11.875,1,5
41,10.125,1,5
42,11.376,1,5
43,10.751,1,5
44,11.751,1,5
45,10.501,1,5
46,11.126,1,5
47,10.875,1,5
48,10.875,1,5
49,13.625,1,5
50,11.751,1,5
51,12.75,1,5
52,13.126,1,5
53,13.252,1,5
54,12.5,1,5
55,13,1,5
56,12.375,1,5
57,12.626,1,5
58,10.25,1,5
59,10.125,1,5
60,10.751,1,5
61,13.127,1,5
62,11.876,1,5
63,12.502,1,5
64,13.001,1,5
65,10.626,1,5
66,13.5,1,5
67,11.5,1,5
68,11.5,1,5
69,13.126,1,5
70,12,1,5
71,13.25,1,5
1,9.25,2,5
2,11.5,2,5
3,13.002,2,5
4,14,2,5
5,12.003,2,5
6,12.5,2,5
7,12.003,2,5
8,13.5,2,5
9,13.5,2,5
10,14.758,2,5
11,13.5,2,5
12,13.502,2,5
13,13,2,5
14,14.002,2,5
15,14,2,5
16,13.5,2,5
17,15.002,2,5
18,13.25,2,5
19,15,2,5
20,15,2,5
21,14,2,5
22,13,2,5
23,12.75,2,5
24,11.75,2,5
25,13.5,2,5
26,13,2,5
27,15,2,5
28,15.75,2,5
29,13.502,2,5
30,14.5,2,5
31,16.752,2,5
32,15.502,2,5
33,16.767,2,5
34,14.009,2,5
35,15.002,2,5
36,16.502,2,5
37,13.502,2,5
38,14.752,2,5
39,15.252,2,5
40,14.758,2,5
41,14.5,2,5
42,13.502,2,5
43,14.002,2,5
44,13.5,2,5
45,12,2,5
46,16.252,2,5
47,12.75,2,5
48,14.509,2,5
49,15.002,2,5
50,15.25,2,5
51,16,2,5
52,15.75,2,5
53,16.008,2,5
54,14.502,2,5
55,14.002,2,5
56,17.252,2,5
57,14.252,2,5
58,14.502,2,5
59,16.502,2,5
60,15.752,2,5
61,15,2,5
62,17.5,2,5
63,16.502,2,5
64,15.752,2,5
65,17.252,2,5
66,18.002,2,5
67,18.252,2,5
68,17.5,2,5
1,12.751,3,5
2,9.628,3,5
3,9.876,3,5
4,9,3,5
5,9.25,3,5
6,10.507,3,5
7,8.375,3,5
8,9.001,3,5
9,9.003,3,5
10,8.883,3,5
11,8.501,3,5
12,9.875,3,5
13,10.5,3,5
14,11.25,3,5
15,9.501,3,5
16,9.25,3,5
17,9.503,3,5
18,9.5,3,5
19,8.751,3,5
20,9.251,3,5
21,8.001,3,5
22,8.25,3,5
23,8.004,3,5
24,9.878,3,5
25,8.875,3,5
26,9.875,3,5
27,8.5,3,5
28,9,3,5
29,9.626,3,5
30,9.626,3,5
31,8.626,3,5
32,8.5,3,5
33,9.375,3,5
34,8.125,3,5
35,9.251,3,5
36,10.003,3,5
37,8.625,3,5
38,7.25,3,5
39,9.625,3,5
40,8.875,3,5
41,7.625,3,5
42,8.625,3,5
43,7.625,3,5
44,10.126,3,5
45,9,3,5
46,9.125,3,5
47,8.375,3,5
48,8.25,3,5
49,8.754,3,5
50,8,3,5
51,7.001,3,5
52,7.25,3,5
53,7.875,3,5
54,8.251,3,5
55,9,3,5
56,9.25,3,5
57,8.25,3,5
58,8.626,3,5
59,8.633,3,5
60,7.25,3,5
61,7.751,3,5
62,8.501,3,5
63,10.503,3,5
64,9.376,3,5
65,9,3,5
66,9.25,3,5
67,8.129,3,5
68,9.5,3,5
69,8.375,3,5
1,26.003,1,6
2,22.006,1,6
3,20.506,1,6
4,22.001,1,6
5,21.001,1,6
6,22.001,1,6
7,19.173,1,6
8,17.337,1,6
9,19,1,6
10,15.865,1,6
11,20.839,1,6
12,21.003,1,6
13,16.67,1,6
14,18.834,1,6
15,17.337,1,6
16,18.5,1,6
17,19.336,1,6
18,17.67,1,6
19,15.5,1,6
20,19.345,1,6
21,17.333,1,6
22,18.503,1,6
23,17.667,1,6
24,19.003,1,6
25,18.334,1,6
26,18.334,1,6
27,17.67,1,6
28,20.333,1,6
29,18.667,1,6
30,18.501,1,6
31,21.849,1,6
32,20.333,1,6
33,18.5,1,6
34,20.173,1,6
35,18.17,1,6
36,16.503,1,6
37,15.168,1,6
38,15.167,1,6
39,19.178,1,6
40,22.001,1,6
41,18.17,1,6
42,20.167,1,6
43,19.167,1,6
44,19.003,1,6
45,19.667,1,6
46,20.169,1,6
47,21.011,1,6
48,21.506,1,6
49,21.169,1,6
50,20.334,1,6
51,21.167,1,6
52,20.169,1,6
53,18.345,1,6
54,16.167,1,6
55,20.184,1,6
56,19.669,1,6
57,20.669,1,6
58,19.17,1,6
59,19.833,1,6
60,22.003,1,6
61,21.672,1,6
62,19.001,1,6
63,19.001,1,6
64,18.67,1,6
65,18,1,6
66,18.667,1,6
67,20.001,1,6
68,19,1,6
69,20.333,1,6
70,19.17,1,6
71,19.333,1,6
72,21.501,1,6
73,18.503,1,6
74,20.167,1,6
75,21.506,1,6
76,18.5,1,6
77,17.67,1,6
78,21.667,1,6
79,22.169,1,6
80,20.673,1,6
81,18.833,1,6
82,18.333,1,6
1,9.002,2,6
2,6.75,2,6
3,9.251,2,6
4,10.251,2,6
5,9.75,2,6
6,9.128,2,6
7,10.5,2,6
